ActiveIngredient_list,ingredient_token_order,fda_ingredient_token_raw,fda_token_norm,fda_token_root_norm,dea_scheduled_substance_names,dea_scheduled_candidate_names,dea_scheduled_current_schedules,dea_scheduled_drug_codes,dea_list_i_substance_names,dea_list_i_candidate_names,dea_list_i_drug_codes,dea_source_name_count,dea_scheduled_candidate_count,dea_list_i_candidate_count,dea_candidate_type_summary,dea_stage_label,dea_confident_match_flag,dea_list_i_only_flag,dea_match_method,dea_possible_candidate_substance_names,dea_possible_candidate_names,dea_possible_candidate_schedules,dea_possible_candidate_drug_codes,dea_possible_candidate_count,dea_possible_match_method
ACITRETIN,1,ACITRETIN,ACITRETIN,ACITRETIN,,,,,,,,,,,,,,,,,,,,,
ACLIDINIUM BROMIDE,1,ACLIDINIUM BROMIDE,ACLIDINIUM BROMIDE,ACLIDINIUM,,,,,,,,,,,,,,,,,,,,,
ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,1,ACLIDINIUM BROMIDE,ACLIDINIUM BROMIDE,ACLIDINIUM,,,,,,,,,,,,,,,,,,,,,
ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,2,FORMOTEROL FUMARATE,FORMOTEROL FUMARATE,FORMOTEROL,,,,,,,,,,,,,,,,,,,,,
ACOLTREMON,1,ACOLTREMON,ACOLTREMON,ACOLTREMON,,,,,,,,,,,,,,,,,,,,,
ACORAMIDIS HYDROCHLORIDE,1,ACORAMIDIS HYDROCHLORIDE,ACORAMIDIS HYDROCHLORIDE,ACORAMIDIS,,,,,,,,,,,,,,,,,,,,,
ACRIVASTINE; PSEUDOEPHEDRINE HYDROCHLORIDE,1,ACRIVASTINE,ACRIVASTINE,ACRIVASTINE,,,,,,,,,,,,,,,,,,,,,
ACRIVASTINE; PSEUDOEPHEDRINE HYDROCHLORIDE,2,PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE,,,,,Pseudoephedrine Hydrochloride,PSEUDOEPHEDRINE HYDROCHLORIDE,8112,1.0,0.0,1.0,core_name,exact,False,True,exact,,,,,,
ACYCLOVIR,1,ACYCLOVIR,ACYCLOVIR,ACYCLOVIR,,,,,,,,,,,,,,,,,,,,,
ACYCLOVIR SODIUM,1,ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,ACYCLOVIR,,,,,,,,,,,,,,,,,,,,,
ACYCLOVIR; HYDROCORTISONE,1,ACYCLOVIR,ACYCLOVIR,ACYCLOVIR,,,,,,,,,,,,,,,,,,,,,
ACYCLOVIR; HYDROCORTISONE,2,HYDROCORTISONE,HYDROCORTISONE,HYDROCORTISONE,,,,,,,,,,,,,,,,,,,,,
ADAGRASIB,1,ADAGRASIB,ADAGRASIB,ADAGRASIB,,,,,,,,,,,,,,,,,,,,,
ADALIMUMAB,1,ADALIMUMAB,ADALIMUMAB,ADALIMUMAB,,,,,,,,,,,,,,,,,,,,,
