ActiveIngredient_list,dea_active_ingredient_token_count,dea_confident_controlled_match_flag,dea_list_i_only_match_flag,dea_possible_candidate_only_flag,dea_confident_matched_token_count,dea_list_i_token_count,dea_possible_candidate_token_count,dea_confident_match_methods,dea_confident_matched_fda_tokens,dea_confident_substance_names,dea_confident_current_schedules,dea_confident_drug_codes,dea_list_i_substance_names,dea_list_i_drug_codes,dea_possible_candidate_tokens,dea_possible_candidate_substance_names,dea_possible_candidate_methods,dea_unmatched_fda_tokens,dea_edge_case_notes,dea_schedule_scope_note,dea_linkage_status,dea_uncertain_flag
ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,2,False,False,False,0,0,0,,,,,,,,,,,ACETAMINOPHEN | PROPOXYPHENE NAPSYLATE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,2,True,False,False,1,0,0,exact,TRAMADOL HYDROCHLORIDE,Tramadol Hydrochloride,IV,9752,,,,,,ACETAMINOPHEN,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,confident_scheduled_controlled_substance_match,False
ACETAZOLAMIDE,1,False,False,False,0,0,0,,,,,,,,,,,ACETAZOLAMIDE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETAZOLAMIDE SODIUM,1,False,False,False,0,0,0,,,,,,,,,,,ACETAZOLAMIDE SODIUM,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
"ACETIC ACID, GLACIAL",1,False,False,False,0,0,0,,,,,,,,,,,"ACETIC ACID, GLACIAL",,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
"ACETIC ACID, GLACIAL; ALUMINUM ACETATE",2,False,False,False,0,0,0,,,,,,,,,,,"ACETIC ACID, GLACIAL | ALUMINUM ACETATE",,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
"ACETIC ACID, GLACIAL; DESONIDE",2,False,False,False,0,0,0,,,,,,,,,,,"ACETIC ACID, GLACIAL | DESONIDE",,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
"ACETIC ACID, GLACIAL; HYDROCORTISONE",2,False,False,False,0,0,0,,,,,,,,,,,"ACETIC ACID, GLACIAL | HYDROCORTISONE",,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
"ACETIC ACID, GLACIAL; HYDROCORTISONE; NEOMYCIN SULFATE",3,False,False,False,0,0,0,,,,,,,,,,,"ACETIC ACID, GLACIAL | HYDROCORTISONE | NEOMYCIN SULFATE",,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETOHEXAMIDE,1,False,False,False,0,0,0,,,,,,,,,,,ACETOHEXAMIDE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETOHYDROXAMIC ACID,1,False,False,False,0,0,0,,,,,,,,,,,ACETOHYDROXAMIC ACID,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
