dea_source_name_raw,dea_candidate_name_norm,dea_candidate_type,dea_root_norm,dea_current_schedule,dea_drug_code,dea_conversion_factor,dea_is_csa_scheduled,dea_is_list_i_chemical,dea_source_file,dea_source_url
1-pentyl-3-(2-chlorophenylacetyl)indole (JWH-203),2 CHLOROPHENYLACETYL,alias_fragment,2 CHLOROPHENYLACETYL,I,7203,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(2-chlorophenylacetyl)indole (JWH-203),JWH 203,alias_fragment,JWH,I,7203,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(2-methoxyphenylacetyl)indole (JWH-250),1 PENTYL 3 INDOLE,core_name,1 PENTYL 3 INDOLE,I,6250,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(2-methoxyphenylacetyl)indole (JWH-250),2 METHOXYPHENYLACETYL,alias_fragment,2 METHOXYPHENYLACETYL,I,6250,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(2-methoxyphenylacetyl)indole (JWH-250),JWH 250,alias_fragment,JWH,I,6250,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(4-chloro-1-naphthoyl)indole (JWH-398),1 PENTYL 3 INDOLE,core_name,1 PENTYL 3 INDOLE,I,7398,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(4-chloro-1-naphthoyl)indole (JWH-398),4 CHLORO 1 NAPHTHOYL,alias_fragment,4 CHLORO 1 NAPHTHOYL,I,7398,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(4-chloro-1-naphthoyl)indole (JWH-398),JWH 398,alias_fragment,JWH,I,7398,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(4-methyl-1-naphthoyl)indole (JWH-122),1 PENTYL 3 INDOLE,core_name,1 PENTYL 3 INDOLE,I,7122,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(4-methyl-1-naphthoyl)indole (JWH-122),4 METHYL 1 NAPHTHOYL,alias_fragment,4 METHYL 1 NAPHTHOYL,I,7122,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(4-methyl-1-naphthoyl)indole (JWH-122),JWH 122,alias_fragment,JWH,I,7122,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-[(4-methoxy)-benzoyl]indole (SR-19 and RCS-4),1 PENTYL 3 BENZOYL INDOLE,core_name,1 PENTYL 3 BENZOYL INDOLE,I,7104,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-[(4-methoxy)-benzoyl]indole (SR-19 and RCS-4),4 METHOXY,alias_fragment,4 METHOXY,I,7104,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-[(4-methoxy)-benzoyl]indole (SR-19 and RCS-4),SR 19 AND RCS 4,alias_fragment,SR 19 AND RCS,I,7104,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-[1-(4-methoxynaphthoyl)]indole (JWH-081),1 PENTYL 3 1 INDOLE,core_name,1 PENTYL 3 1 INDOLE,I,7081,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-[1-(4-methoxynaphthoyl)]indole (JWH-081),4 METHOXYNAPHTHOYL,alias_fragment,4 METHOXYNAPHTHOYL,I,7081,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-[1-(4-methoxynaphthoyl)]indole (JWH-081),JWH 081,alias_fragment,JWH,I,7081,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"2-(1-(4-fluorobenzyl)-1H-indazole-3-carboxamido)-3-methylbutanoate (FUB-AMB, MMB-FUBINACA)",2 1H INDAZOLE 3 CARBOXAMIDO 3 METHYLBUTANOATE,core_name,2 1H INDAZOLE 3 CARBOXAMIDO 3 METHYLBUTANOATE,I,7021,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
