year,orig_confident_denominator,orig_confident_numerator,orig_confident_share,ap_confident_denominator,ap_confident_numerator,ap_confident_share,orig_nda_confident_denominator,orig_nda_confident_numerator,orig_nda_confident_share,orig_confident_plus_list_i_denominator,orig_confident_plus_list_i_numerator,orig_confident_plus_list_i_share,orig_any_signal_denominator,orig_any_signal_numerator,orig_any_signal_share,time_index_from_1960,time_index_from_1980,event_time_1992,post_1992,post_1992_trend,post_1984,post_1984_trend,post_1997,post_2002,post_2007,post_2012,post_2017,orig_confident_share_roll3,orig_nda_confident_share_roll3,orig_any_signal_share_roll3,policy_era
2005,437,26,0.059496567505720827,2063,87,0.04217159476490548,75,5,0.06666666666666667,437,29,0.06636155606407322,437,30,0.06864988558352403,45,25,13,1,13,1,21,1,1,0,0,0,0.0631010745786752,0.05385261138094382,0.07749528616773264,2003-2007 PDUFA III
2006,487,42,0.08624229979466119,2072,118,0.05694980694980695,102,5,0.049019607843137254,487,45,0.09240246406570841,487,47,0.09650924024640657,46,26,14,1,14,1,22,1,1,0,0,0,0.0756664107142788,0.04649859943977591,0.08379820501683148,2003-2007 PDUFA III
2007,603,49,0.0812603648424544,2949,201,0.0681586978636826,84,2,0.023809523809523808,603,49,0.0812603648424544,603,52,0.08623548922056384,47,27,15,1,15,1,23,1,1,1,0,0,0.0824084560922101,0.05457940752058399,0.08979994737287228,2003-2007 PDUFA III
2008,577,46,0.07972270363951472,2809,215,0.07653969384122464,88,8,0.09090909090909091,577,48,0.0831889081455806,577,50,0.08665511265164645,48,28,16,1,16,1,24,1,1,1,0,0,0.06907198173143263,0.053054353054353055,0.07361193578388746,2008-2012 PDUFA IV
2009,584,27,0.046232876712328765,2793,142,0.05084138918725385,90,4,0.044444444444444446,584,27,0.046232876712328765,584,28,0.04794520547945205,49,29,17,1,17,1,25,1,1,1,0,0,0.07073137082064508,0.08825510001980591,0.07667105405593193,2008-2012 PDUFA IV
2010,545,47,0.08623853211009175,2795,166,0.059391771019678,85,11,0.12941176470588237,545,51,0.09357798165137615,545,52,0.09541284403669725,50,30,18,1,18,1,26,1,1,1,0,0,0.0723666929811062,0.11996757359274461,0.08002550988477286,2008-2012 PDUFA IV
2011,579,49,0.0846286701208981,3332,223,0.06692677070828332,86,16,0.18604651162790697,579,50,0.08635578583765112,579,56,0.09671848013816926,51,31,19,1,19,1,27,1,1,1,0,0,0.08182345894472148,0.1354557890809601,0.0931443038254846,2008-2012 PDUFA IV
2012,630,47,0.0746031746031746,3370,231,0.0685459940652819,88,8,0.09090909090909091,630,48,0.0761904761904762,630,55,0.0873015873015873,52,32,20,1,20,1,28,1,1,1,1,0,0.07503674103415035,0.10314104500151013,0.08893011257000893,2008-2012 PDUFA IV
2013,592,39,0.06587837837837837,4334,395,0.09113982464236271,154,5,0.032467532467532464,592,40,0.06756756756756757,592,49,0.08277027027027027,53,33,21,1,21,1,29,1,1,1,1,0,0.07750565040388048,0.06581689915023248,0.09503870178648939,2013-2017 PDUFA V
2014,565,52,0.0920353982300885,4874,380,0.07796471070988921,108,8,0.07407407407407407,565,55,0.09734513274336283,565,65,0.11504424778761062,54,34,22,1,22,1,30,1,1,1,1,0,0.07915827304415746,0.06436002269335601,0.09885998338554876,2013-2017 PDUFA V
2015,729,58,0.07956104252400549,5776,405,0.07011772853185595,104,9,0.08653846153846154,729,60,0.0823045267489712,729,72,0.09876543209876543,55,35,23,1,23,1,31,1,1,1,1,0,0.08239775257674044,0.07946343779677112,0.10177387207529953,2013-2017 PDUFA V
2016,754,57,0.07559681697612732,5065,863,0.17038499506416585,90,7,0.07777777777777778,754,59,0.07824933687002653,754,69,0.09151193633952255,56,36,24,1,24,1,32,1,1,1,1,0,0.07859068765167575,0.08021737239294491,0.09541555275518109,2013-2017 PDUFA V
2017,1042,84,0.08061420345489444,3904,540,0.13831967213114754,131,10,0.07633587786259542,1042,92,0.08829174664107485,1042,100,0.09596928982725528,57,37,25,1,25,1,33,1,1,1,1,1,0.07474607710512517,0.06596975869277648,0.08776099181263829,2013-2017 PDUFA V
2018,1029,70,0.06802721088435375,3731,791,0.21200750469043153,137,6,0.043795620437956206,1029,72,0.06997084548104957,1029,78,0.07580174927113703,58,38,26,1,26,1,34,1,1,1,1,1,0.07300270468064136,0.048739484940763585,0.08434654061786517,2018-2025 PDUFA VI+
2019,1009,71,0.07036669970267592,5213,592,0.11356224822558987,115,3,0.02608695652173913,1009,72,0.07135777998017839,1009,82,0.08126858275520317,59,39,27,1,27,1,35,1,1,1,1,1,0.06989016877723685,0.04068549666772453,0.08178940145558859,2018-2025 PDUFA VI+
2020,940,67,0.07127659574468086,5295,241,0.045514636449480644,115,6,0.05217391304347826,940,79,0.08404255319148936,940,83,0.08829787234042553,60,40,28,1,28,1,36,1,1,1,1,1,0.06994170454305831,0.03866557287394038,0.08303730321369442,2018-2025 PDUFA VI+
2021,792,54,0.06818181818181818,4590,648,0.1411764705882353,106,4,0.03773584905660377,792,56,0.0707070707070707,792,63,0.07954545454545454,61,41,29,1,29,1,37,1,1,1,1,1,0.06806111100678339,0.04815173888184552,0.08291649191773133,2018-2025 PDUFA VI+
2022,927,60,0.06472491909385113,4066,428,0.10526315789473684,110,6,0.05454545454545454,927,67,0.07227615965480043,927,75,0.08090614886731391,62,42,30,1,30,1,38,1,1,1,1,1,0.06357775257145108,0.047709587076392314,0.07541806521203283,2018-2025 PDUFA VI+
2023,1003,58,0.05782652043868395,5618,981,0.17461730153079388,118,6,0.05084745762711865,1003,62,0.06181455633100698,1003,66,0.06580259222333001,63,43,31,1,31,1,39,1,1,1,1,1,0.05221411620781472,0.035130970724191066,0.06336572361423669,2018-2025 PDUFA VI+
2024,968,33,0.03409090909090909,6131,864,0.14092317729571033,97,0,0.0,968,37,0.038223140495867766,968,42,0.04338842975206612,64,44,32,1,32,1,40,1,1,1,1,1,0.04025452779191563,0.022551393438731426,0.049858545786670504,2018-2025 PDUFA VI+
2025,1040,30,0.028846153846153848,5056,783,0.15486550632911392,119,2,0.01680672268907563,1040,36,0.03461538461538462,1040,42,0.04038461538461539,65,45,33,1,33,1,41,1,1,1,1,1,0.03146853146853147,0.008403361344537813,0.041886522568340745,2018-2025 PDUFA VI+
