appl_no,submission_no,appl_type,drug_name,active_ingredient,sponsor_name,approval_date,review_priority_group,orphan_designation,active_ingredient_norm,needs_manual_controlled_substance_flag,arcos_merge_notes
090102,1,ANDA,RANITIDINE HYDROCHLORIDE,RANITIDINE HYDROCHLORIDE,TORRENT,2009-05-26,MISSING,False,RANITIDINE HYDROCHLORIDE,True,
090103,1,ANDA,NIMODIPINE,NIMODIPINE,THEPHARMANETWORK LLC,2014-04-07,MISSING,False,NIMODIPINE,True,
090107,1,ANDA,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,SANDOZ,2011-07-01,MISSING,False,ZOLPIDEM TARTRATE,True,
090108,1,ANDA,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,SAGENT PHARMS INC,2011-09-30,MISSING,False,CLINDAMYCIN PHOSPHATE,True,
090109,1,ANDA,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,SAGENT PHARMS INC,2011-09-30,MISSING,False,CLINDAMYCIN PHOSPHATE,True,
090110,1,ANDA,POLYMYXIN B SULFATE,POLYMYXIN B SULFATE,RISING,2011-06-29,MISSING,False,POLYMYXIN B SULFATE,True,
090111,1,ANDA,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,STRIDES PHARMA INTL,2009-12-22,MISSING,False,MYCOPHENOLATE MOFETIL,True,
090114,1,ANDA,SYEDA,DROSPIRENONE; ETHINYL ESTRADIOL,XIROMED,2011-03-28,MISSING,False,DROSPIRENONE ETHINYL ESTRADIOL,True,
090116,1,ANDA,ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE,CHARTWELL MOLECULAR,2010-04-14,MISSING,False,ONDANSETRON HYDROCHLORIDE,True,
090118,1,ANDA,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,ACETAMINOPHEN; HYDROCODONE BITARTRATE,SUN PHARM INDS INC,2008-12-23,MISSING,False,ACETAMINOPHEN HYDROCODONE BITARTRATE,True,
090120,1,ANDA,QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,HIKMA,2012-03-27,MISSING,False,QUETIAPINE FUMARATE,True,
090121,1,ANDA,FINASTERIDE,FINASTERIDE,ACCORD HLTHCARE,2010-02-23,MISSING,False,FINASTERIDE,True,
090122,1,ANDA,MEPROBAMATE,MEPROBAMATE,ALEMBIC PHARMS LTD,2009-02-18,MISSING,False,MEPROBAMATE,True,
090124,1,ANDA,ALENDRONATE SODIUM,ALENDRONATE SODIUM,AUROBINDO PHARMA,2008-08-04,MISSING,False,ALENDRONATE SODIUM,True,
090125,1,ANDA,NICARDIPINE HYDROCHLORIDE,NICARDIPINE HYDROCHLORIDE,NAVINTA LLC,2009-11-17,MISSING,False,NICARDIPINE HYDROCHLORIDE,True,
090128,1,ANDA,FAMCICLOVIR,FAMCICLOVIR,HIKMA,2011-03-21,MISSING,False,FAMCICLOVIR,True,
090130,1,ANDA,PACLITAXEL,PACLITAXEL,ACTAVIS TOTOWA,2009-12-09,MISSING,False,PACLITAXEL,True,
090132,1,ANDA,CARVEDILOL PHOSPHATE,CARVEDILOL PHOSPHATE,SUN PHARM INDUSTRIES,2017-10-25,MISSING,False,CARVEDILOL PHOSPHATE,True,
090134,1,ANDA,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,ACTAVIS ELIZABETH,2011-12-14,MISSING,False,DOXYCYCLINE HYCLATE,True,
090135,1,ANDA,ROPINIROLE HYDROCHLORIDE,ROPINIROLE HYDROCHLORIDE,GLENMARK PHARMS LTD,2010-02-25,MISSING,False,ROPINIROLE HYDROCHLORIDE,True,
090137,1,ANDA,IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,SANDOZ,2009-11-12,MISSING,False,IRINOTECAN HYDROCHLORIDE,True,
090141,1,ANDA,TADALAFIL,TADALAFIL,TEVA PHARMS USA,2018-05-22,MISSING,False,TADALAFIL,True,
090142,1,ANDA,CHILDREN'S CETIRIZINE HYDROCHLORIDE ALLERGY; CHILDREN'S CETIRIZINE HYDROCHLORIDE HIVES RELIEF,CETIRIZINE HYDROCHLORIDE,SUN PHARM,2011-08-30,MISSING,False,CETIRIZINE HYDROCHLORIDE,True,
090143,1,ANDA,DORZOLAMIDE HYDROCHLORIDE,DORZOLAMIDE HYDROCHLORIDE,BAUSCH AND LOMB,2009-06-25,MISSING,False,DORZOLAMIDE HYDROCHLORIDE,True,
090144,1,,,,,2013-03-28,MISSING,False,,True,
090145,1,ANDA,"PEG-3350, SODIUM SULFATE, SODIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM ASCORBATE AND ASCORBIC ACID",ASCORBIC ACID; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM ASCORBATE; SODIUM CHLORIDE; SODIUM SULFATE,NOVEL LABS INC,2012-01-25,MISSING,False,ASCORBIC ACID POLYETHYLENE GLYCOL 3350 POTASSIUM CHLORIDE SODIUM ASCORBATE SODIUM CHLORIDE SODIUM SULFATE,True,
090146,1,ANDA,CICLOPIROX,CICLOPIROX,FOUGERA PHARMS,2010-05-25,MISSING,False,CICLOPIROX,True,
090149,1,ANDA,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,DR REDDYS LABS INC,2011-07-05,MISSING,False,AMLODIPINE BESYLATE BENAZEPRIL HYDROCHLORIDE,True,
090150,1,ANDA,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE; LOSARTAN POTASSIUM,APOTEX,2010-08-11,MISSING,False,HYDROCHLOROTHIAZIDE LOSARTAN POTASSIUM,True,
090150,2,ANDA,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE; LOSARTAN POTASSIUM,APOTEX,2010-10-06,MISSING,False,HYDROCHLOROTHIAZIDE LOSARTAN POTASSIUM,True,
090151,1,ANDA,PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DIHYDROCHLORIDE,PHARMOBEDIENT,2012-04-30,MISSING,False,PRAMIPEXOLE DIHYDROCHLORIDE,True,
090153,1,ANDA,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,ACTAVIS LABS FL INC,2013-03-25,MISSING,False,ZOLPIDEM TARTRATE,True,
090155,1,ANDA,EFAVIRENZ,EFAVIRENZ,CIPLA LIMITED,2009-08-03,MISSING,False,EFAVIRENZ,True,
090158,1,ANDA,GABAPENTIN,GABAPENTIN,PHARMOBEDIENT,2011-02-14,MISSING,False,GABAPENTIN,True,
090159,1,ANDA,ABACAVIR SULFATE AND LAMIVUDINE,ABACAVIR SULFATE; LAMIVUDINE,AUROBINDO PHARMA LTD,2018-11-15,MISSING,False,ABACAVIR SULFATE LAMIVUDINE,True,
090161,1,ANDA,DIVALPROEX SODIUM,DIVALPROEX SODIUM,DR REDDYS LABS LTD,2012-03-15,MISSING,False,DIVALPROEX SODIUM,True,
090162,1,ANDA,TOPIRAMATE,TOPIRAMATE,UNICHEM LABS LTD,2009-03-27,MISSING,False,TOPIRAMATE,True,
090163,1,ANDA,EPIRUBICIN HYDROCHLORIDE,EPIRUBICIN HYDROCHLORIDE,EPIC PHARMA LLC,2009-06-24,MISSING,False,EPIRUBICIN HYDROCHLORIDE,True,
090164,1,ANDA,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,SANDOZ,2009-06-01,MISSING,False,TRIAMCINOLONE ACETONIDE,True,
090165,1,ANDA,ARIPIPRAZOLE,ARIPIPRAZOLE,SQUARE PHARMS,2018-08-28,MISSING,False,ARIPIPRAZOLE,True,
090166,1,ANDA,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,CAPLIN,2009-05-27,MISSING,False,TRIAMCINOLONE ACETONIDE,True,
090168,1,ANDA,BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,LEADING,2012-11-28,MISSING,False,BENZTROPINE MESYLATE,True,
090169,1,ANDA,LAMOTRIGINE,LAMOTRIGINE,GLENMARK PHARMS LTD,2012-05-04,MISSING,False,LAMOTRIGINE,True,
