active_ingredient,active_ingredient_norm,possible_controlled_substance,dea_schedule,arcos_merge_notes
INSULIN RECOMBINANT HUMAN,INSULIN RECOMBINANT HUMAN,,,
INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,,,
INTERFERON ALFA-2B,INTERFERON ALFA 2B,,,
INTERFERON ALFA-N3,INTERFERON ALFA N3,,,
INTERFERON BETA-1A,INTERFERON BETA 1A,,,
INTERFERON BETA-1B,INTERFERON BETA 1B,,,
INTERFERON GAMMA-1B,INTERFERON GAMMA 1B,,,
INULIN,INULIN,,,
IOBENGUANE I-131,IOBENGUANE I 131,,,
IOBENGUANE SULFATE I-123,IOBENGUANE SULFATE I 123,,,
IOBENGUANE SULFATE I-131,IOBENGUANE SULFATE I 131,,,
IOCETAMIC ACID,IOCETAMIC ACID,,,
IODAMIDE MEGLUMINE,IODAMIDE MEGLUMINE,,,
IODINE POVACRYLEX,IODINE POVACRYLEX,,,
IODIPAMIDE MEGLUMINE,IODIPAMIDE MEGLUMINE,,,
IODIPAMIDE SODIUM,IODIPAMIDE SODIUM,,,
IODIXANOL,IODIXANOL,,,
IODOHIPPURATE SODIUM I-123,IODOHIPPURATE SODIUM I 123,,,
IODOHIPPURATE SODIUM I-131,IODOHIPPURATE SODIUM I 131,,,
IODOXAMATE MEGLUMINE,IODOXAMATE MEGLUMINE,,,
IOFETAMINE HYDROCHLORIDE I-123,IOFETAMINE HYDROCHLORIDE I 123,,,
IOFLUPANE I-123,IOFLUPANE I 123,,,
IOHEXOL,IOHEXOL,,,
IOMEPROL,IOMEPROL,,,
IOPAMIDOL,IOPAMIDOL,,,
IOPANOIC ACID,IOPANOIC ACID,,,
IOPROMIDE,IOPROMIDE,,,
IOTHALAMATE MEGLUMINE,IOTHALAMATE MEGLUMINE,,,
IOTHALAMATE SODIUM,IOTHALAMATE SODIUM,,,
IOTHALAMATE SODIUM I-125,IOTHALAMATE SODIUM I 125,,,
IOVERSOL,IOVERSOL,,,
IOXAGLATE MEGLUMINE,IOXAGLATE MEGLUMINE,,,
IOXAGLATE SODIUM,IOXAGLATE SODIUM,,,
IOXILAN,IOXILAN,,,
IPILIMUMAB,IPILIMUMAB,,,
IPODATE CALCIUM,IPODATE CALCIUM,,,
IPODATE SODIUM,IPODATE SODIUM,,,
IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,,,
IPTACOPAN HYDROCHLORIDE,IPTACOPAN HYDROCHLORIDE,,,
IRBESARTAN,IRBESARTAN,,,
IRBESARTAN: HYDROCHLOROTHIAZIDE,IRBESARTAN HYDROCHLOROTHIAZIDE,,,
IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,,,
IRON DEXTRAN,IRON DEXTRAN,,,
IRON SUCROSE,IRON SUCROSE,,,
ISATUXIMAB-IRFC,ISATUXIMAB IRFC,,,
ISAVUCONAZONIUM SULFATE,ISAVUCONAZONIUM SULFATE,,,
ISOCARBOXAZID,ISOCARBOXAZID,,,
ISOETHARINE HYDROCHLORIDE,ISOETHARINE HYDROCHLORIDE,,,
ISOETHARINE MESYLATE,ISOETHARINE MESYLATE,,,
ISOFLURANE,ISOFLURANE,,,
ISOFLUROPHATE,ISOFLUROPHATE,,,
ISONIAZID,ISONIAZID,,,
ISOPROPAMIDE IODIDE,ISOPROPAMIDE IODIDE,,,
ISOPROPYL ALCOHOL,ISOPROPYL ALCOHOL,,,
ISOPROTERENOL HYDROCHLORIDE,ISOPROTERENOL HYDROCHLORIDE,,,
ISOPROTERENOL SULFATE,ISOPROTERENOL SULFATE,,,
ISOSORBIDE,ISOSORBIDE,,,
ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,,,
ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,,,
ISOSULFAN BLUE,ISOSULFAN BLUE,,,
ISOTRETINOIN,ISOTRETINOIN,,,
ISRADIPINE,ISRADIPINE,,,
ISTRADEFYLLINE,ISTRADEFYLLINE,,,
ITRACONAZOLE,ITRACONAZOLE,,,
IVABRADINE,IVABRADINE,,,
IVABRADINE HYDROCHLORIDE,IVABRADINE HYDROCHLORIDE,,,
IVACAFTOR,IVACAFTOR,,,
"IVACAFTOR, TEZACAFTOR",IVACAFTOR TEZACAFTOR,,,
IVERMECTIN,IVERMECTIN,,,
IVOSIDENIB,IVOSIDENIB,,,
IXABEPILONE,IXABEPILONE,,,
IXAZOMIB CITRATE,IXAZOMIB CITRATE,,,
IXEKIZUMAB,IXEKIZUMAB,,,
KANAMYCIN SULFATE,KANAMYCIN SULFATE,,,
KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,,,
KETOCONAZOLE,KETOCONAZOLE,,,
KETOPROFEN,KETOPROFEN,,,
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,,,
KETOTIFEN FUMARATE,KETOTIFEN FUMARATE,,,
"KRYPTON, KR-81M",KRYPTON KR 81M,,,
L-GLUTAMINE,L GLUTAMINE,,,
LABETALOL HYDROCHLORIDE,LABETALOL HYDROCHLORIDE,,,
LACOSAMIDE,LACOSAMIDE,,,
LACTIC ACID,LACTIC ACID,,,
LACTITOL,LACTITOL,,,
LACTULOSE,LACTULOSE,,,
LAMIVUDINE,LAMIVUDINE,,,
"LAMIVUDINE, NEVIRAPINE, AND STAVUDINE",LAMIVUDINE NEVIRAPINE AND STAVUDINE,,,
LAMOTRIGINE,LAMOTRIGINE,,,
LANADELUMAB-FLYO,LANADELUMAB FLYO,,,
LANDIOLOL HYDROCHLORIDE,LANDIOLOL HYDROCHLORIDE,,,
LANREOTIDE ACETATE,LANREOTIDE ACETATE,,,
LANSOPRAZOLE,LANSOPRAZOLE,,,
LANTHANUM CARBONATE,LANTHANUM CARBONATE,,,
LAPATINIB DITOSYLATE,LAPATINIB DITOSYLATE,,,
LARONIDASE,LARONIDASE,,,
LAROTRECTINIB SULFATE,LAROTRECTINIB SULFATE,,,
LASMIDITAN,LASMIDITAN,,,
LASMIDITAN SUCCINATE,LASMIDITAN SUCCINATE,,,
LATANOPROST,LATANOPROST,,,
LATANOPROSTENE BUNOD,LATANOPROSTENE BUNOD,,,
LAZERTINIB MESYLATE,LAZERTINIB MESYLATE,,,
LEBRIKIZUMAB-LBKZ,LEBRIKIZUMAB LBKZ,,,
LECANEMAB-IRMB,LECANEMAB IRMB,,,
LEDIPASVIR,LEDIPASVIR,,,
LEFAMULIN ACETATE,LEFAMULIN ACETATE,,,
LEFLUNOMIDE,LEFLUNOMIDE,,,
LEMBOREXANT,LEMBOREXANT,,,
LENACAPAVIR,LENACAPAVIR,,,
LENACAPAVIR SODIUM,LENACAPAVIR SODIUM,,,
LENALIDOMIDE,LENALIDOMIDE,,,
LENIOLISIB PHOSPHATE,LENIOLISIB PHOSPHATE,,,
LENVATINIB MESYLATE,LENVATINIB MESYLATE,,,
LEODOPA,LEODOPA,,,
LERODALCIBEP-LIGA,LERODALCIBEP LIGA,,,
LESINURAD,LESINURAD,,,
LETERMOVIR,LETERMOVIR,,,
LETIBOTULINUMTOXINA-WLBG,LETIBOTULINUMTOXINA WLBG,,,
LETROZOLE,LETROZOLE,,,
LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM,,,
LEUPROLIDE ACETATE,LEUPROLIDE ACETATE,,,
LEUPROLIDE MESYLATE,LEUPROLIDE MESYLATE,,,
LEVACETYLLEUCINE,LEVACETYLLEUCINE,,,
LEVALBUTEROL HYDROCHLORIDE,LEVALBUTEROL HYDROCHLORIDE,,,
LEVALBUTEROL TARTRATE,LEVALBUTEROL TARTRATE,,,
LEVALLORPHAN TARTRATE,LEVALLORPHAN TARTRATE,,,
LEVAMISOLE HYDROCHLORIDE,LEVAMISOLE HYDROCHLORIDE,,,
LEVAMLODIPINE MALEATE,LEVAMLODIPINE MALEATE,,,
LEVETIRACETAM,LEVETIRACETAM,,,
LEVOBETAXOLOL HYDROCHLORIDE,LEVOBETAXOLOL HYDROCHLORIDE,,,
LEVOBUNOLOL HYDROCHLORIDE,LEVOBUNOLOL HYDROCHLORIDE,,,
LEVOBUPIVACAINE HYDROCHLORIDE,LEVOBUPIVACAINE HYDROCHLORIDE,,,
LEVOCABASTINE HYDROCHLORIDE,LEVOCABASTINE HYDROCHLORIDE,,,
LEVOCARNITINE,LEVOCARNITINE,,,
LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,,,
LEVODOPA,LEVODOPA,,,
LEVOFLOXACIN,LEVOFLOXACIN,,,
LEVOKETOCONAZOLE,LEVOKETOCONAZOLE,,,
LEVOLEUCOVORIN,LEVOLEUCOVORIN,,,
LEVOLEUCOVORIN CALCIUM,LEVOLEUCOVORIN CALCIUM,,,
LEVOMEFOLATE CALCIUM,LEVOMEFOLATE CALCIUM,,,
LEVOMETHADYL ACETATE HYDROCHLORIDE,LEVOMETHADYL ACETATE HYDROCHLORIDE,,,
LEVOMILNACIPRAN,LEVOMILNACIPRAN,,,
LEVOMILNACIPRAN HYDROCHLORIDE,LEVOMILNACIPRAN HYDROCHLORIDE,,,
LEVONORDEFRIN,LEVONORDEFRIN,,,
LEVONORGESTREL,LEVONORGESTREL,,,
LEVOPROPOXYPHENE NAPSYLATE ANHYDROUS,LEVOPROPOXYPHENE NAPSYLATE ANHYDROUS,,,
LEVORPHANOL TARTRATE,LEVORPHANOL TARTRATE,,,
LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,,,
LH),LH,,,
LIDOCAINE,LIDOCAINE,,,
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,,,
LIFITEGRAST,LIFITEGRAST,,,
LINACLOTIDE,LINACLOTIDE,,,
LINAGLIPTIN,LINAGLIPTIN,,,
LINAGLIPTIN AND METFORMIN HYDROCHLORIDE,LINAGLIPTIN AND METFORMIN HYDROCHLORIDE,,,
LINCOMYCIN HYDROCHLORIDE,LINCOMYCIN HYDROCHLORIDE,,,
LINDANE,LINDANE,,,
LINEZOLID,LINEZOLID,,,
LINVOSELTAMAB-GCPT,LINVOSELTAMAB GCPT,,,
LIOTHYRONINE SODIUM,LIOTHYRONINE SODIUM,,,
LIOTRIX (T4,LIOTRIX T4,,,
LIPASE,LIPASE,,,
LIRAGLUTIDE,LIRAGLUTIDE,,,
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,,,
LISINOPRIL,LISINOPRIL,,,
LITHIUM CARBONATE,LITHIUM CARBONATE,,,
LITHIUM CITRATE,LITHIUM CITRATE,,,
LIXISENATIDE,LIXISENATIDE,,,
LODOXAMIDE TROMETHAMINE,LODOXAMIDE TROMETHAMINE,,,
LOFEXIDINE HYDROCHLORIDE,LOFEXIDINE HYDROCHLORIDE,,,
LOMEFLOXACIN HYDROCHLORIDE,LOMEFLOXACIN HYDROCHLORIDE,,,
LOMITAPIDE MESYLATE,LOMITAPIDE MESYLATE,,,
LOMUSTINE,LOMUSTINE,,,
LONAFARNIB,LONAFARNIB,,,
LONAPEGSOMATROPIN-TCGD,LONAPEGSOMATROPIN TCGD,,,
LONCASTUXIMAB TESIRINE-LPYL,LONCASTUXIMAB TESIRINE LPYL,,,
LOPERAMIDE HYDROCHLORIDE,LOPERAMIDE HYDROCHLORIDE,,,
LOPINAVIR,LOPINAVIR,,,
LORACARBEF,LORACARBEF,,,
LORATADINE,LORATADINE,,,
LORAZEPAM,LORAZEPAM,,,
LORCASERIN HYDROCHLORIDE,LORCASERIN HYDROCHLORIDE,,,
LORLATINIB,LORLATINIB,,,
LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,,,
LOTEPREDNOL ETABONATE,LOTEPREDNOL ETABONATE,,,
LOTILANER,LOTILANER,,,
LOVASTATIN,LOVASTATIN,,,
LOXAPINE,LOXAPINE,,,
LOXAPINE HYDROCHLORIDE,LOXAPINE HYDROCHLORIDE,,,
LOXAPINE SUCCINATE,LOXAPINE SUCCINATE,,,
LUBIPROSTONE,LUBIPROSTONE,,,
LUCINACTANT,LUCINACTANT,,,
LULICONAZOLE,LULICONAZOLE,,,
LUMACAFTOR,LUMACAFTOR,,,
LUMASIRAN SODIUM,LUMASIRAN SODIUM,,,
LUMATEPERONE,LUMATEPERONE,,,
LUMATEPERONE TOSYLATE,LUMATEPERONE TOSYLATE,,,
LUMEFANTRINE,LUMEFANTRINE,,,
LURASIDONE HYDROCHLORIDE,LURASIDONE HYDROCHLORIDE,,,
LURBINECTEDIN,LURBINECTEDIN,,,
LUSPATERCEPT-AAMT,LUSPATERCEPT AAMT,,,
LUSUTROMBOPAG,LUSUTROMBOPAG,,,
LUTETIUM LU 177 DOTATATE,LUTETIUM LU 177 DOTATATE,,,
LUTETIUM LU-177 VIPIVOTIDE TETRAXETAN,LUTETIUM LU 177 VIPIVOTIDE TETRAXETAN,,,
Lamivudine,LAMIVUDINE,,,
MACIMORELIN ACETATE,MACIMORELIN ACETATE,,,
MACITENTAN,MACITENTAN,,,
MAFENIDE ACETATE,MAFENIDE ACETATE,,,
MAFTIVIMAB,MAFTIVIMAB,,,
MAGNESIUM ACETATE,MAGNESIUM ACETATE,,,
MAGNESIUM ACETATE TETRAHYDRATE,MAGNESIUM ACETATE TETRAHYDRATE,,,
MAGNESIUM CARBONATE,MAGNESIUM CARBONATE,,,
MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,,,
MAGNESIUM HYDROXIDE,MAGNESIUM HYDROXIDE,,,
MAGNESIUM OXIDE,MAGNESIUM OXIDE,,,
MAGNESIUM OXYBATE,MAGNESIUM OXYBATE,,,
MAGNESIUM SULFATE,MAGNESIUM SULFATE,,,
MAGNESIUM SULFATE ANHYDROUS,MAGNESIUM SULFATE ANHYDROUS,,,
MAGNESIUM TRISILICATE,MAGNESIUM TRISILICATE,,,
MALATHION,MALATHION,,,
MANGAFODIPIR TRISODIUM,MANGAFODIPIR TRISODIUM,,,
MANGANESE CHLORIDE,MANGANESE CHLORIDE,,,
MANGANESE CHLORIDE TETRAHYDRATE,MANGANESE CHLORIDE TETRAHYDRATE,,,
MANGANESE SULFATE,MANGANESE SULFATE,,,
MANNITOL,MANNITOL,,,
MAPROTILINE HYDROCHLORIDE,MAPROTILINE HYDROCHLORIDE,,,
MARALIXIBAT CHLORIDE,MARALIXIBAT CHLORIDE,,,
MARAVIROC,MARAVIROC,,,
MARGETUXIMAB-CMKB,MARGETUXIMAB CMKB,,,
MARIBAVIR,MARIBAVIR,,,
MARSTACIMAB-HNCQ,MARSTACIMAB HNCQ,,,
MASOPROCOL,MASOPROCOL,,,
MAVACAMTEN,MAVACAMTEN,,,
MAVORIXAFOR,MAVORIXAFOR,,,
MAZINDOL,MAZINDOL,,,
MEBENDAZOLE,MEBENDAZOLE,,,
MECAMYLAMINE HYDROCHLORIDE,MECAMYLAMINE HYDROCHLORIDE,,,
MECASERMIN RECOMBINANT,MECASERMIN RECOMBINANT,,,
MECASERMIN RINFABATE RECOMBINANT,MECASERMIN RINFABATE RECOMBINANT,,,
MECHLORETHAMINE HYDROCHLORIDE,MECHLORETHAMINE HYDROCHLORIDE,,,
MECLIZINE HYDROCHLORIDE,MECLIZINE HYDROCHLORIDE,,,
MECLOFENAMATE SODIUM,MECLOFENAMATE SODIUM,,,
MEDICAL AIR,MEDICAL AIR,,,
MEDIUM CHAIN TRIGLYCERIDES,MEDIUM CHAIN TRIGLYCERIDES,,,
MEDROXYPROGESTERONE ACETATE,MEDROXYPROGESTERONE ACETATE,,,
MEDRYSONE,MEDRYSONE,,,
MEFENAMIC ACID,MEFENAMIC ACID,,,
MEFLOQUINE HYDROCHLORIDE,MEFLOQUINE HYDROCHLORIDE,,,
MEGESTROL ACETATE,MEGESTROL ACETATE,,,
MEGLUMINE,MEGLUMINE,,,
MEGLUMINE METRIZOATE,MEGLUMINE METRIZOATE,,,
MELOXICAM,MELOXICAM,,,
MELPHALAN,MELPHALAN,,,
MELPHALAN HYDROCHLORIDE,MELPHALAN HYDROCHLORIDE,,,
MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,,,
MENADIOL SODIUM DIPHOSPHATE,MENADIOL SODIUM DIPHOSPHATE,,,
MENOTROPINS (FSH,MENOTROPINS FSH,,,
MENTHOL,MENTHOL,,,
MEPENZOLATE BROMIDE,MEPENZOLATE BROMIDE,,,
MEPERIDINE HYDROCHLORIDE,MEPERIDINE HYDROCHLORIDE,,,
MEPHENTERMINE SULFATE,MEPHENTERMINE SULFATE,,,
MEPHENYTOIN,MEPHENYTOIN,,,
MEPIVACAINE HYDROCHLORIDE,MEPIVACAINE HYDROCHLORIDE,,,
MEPOLIZUMAB,MEPOLIZUMAB,,,
MEPROBAMATE,MEPROBAMATE,,,
MEQUINOL,MEQUINOL,,,
MERCAPTOPURINE,MERCAPTOPURINE,,,
MEROPENEM,MEROPENEM,,,
MESALAMINE,MESALAMINE,,,
MESNA,MESNA,,,
MESORIDAZINE BESYLATE,MESORIDAZINE BESYLATE,,,
MESTRANOL,MESTRANOL,,,
METAPROTERENOL SULFATE,METAPROTERENOL SULFATE,,,
METARAMINOL BITARTRATE,METARAMINOL BITARTRATE,,,
METAXALONE,METAXALONE,,,
METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,,,
METFORMIN HYDROCHLORIDE || SITAGLIPTIN,METFORMIN HYDROCHLORIDE SITAGLIPTIN,,,
"METFORMIN HYDROCHLORIDE, SITAGLIPTIN",METFORMIN HYDROCHLORIDE SITAGLIPTIN,,,
"METFORMIN HYDROCHLORIDE, SITAGLIPTIN PHOSPHATE",METFORMIN HYDROCHLORIDE SITAGLIPTIN PHOSPHATE,,,
METHACHOLINE CHLORIDE,METHACHOLINE CHLORIDE,,,
METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,,,
METHAMPHETAMINE HYDROCHLORIDE,METHAMPHETAMINE HYDROCHLORIDE,,,
METHANTHELINE BROMIDE,METHANTHELINE BROMIDE,,,
METHAZOLAMIDE,METHAZOLAMIDE,,,
METHDILAZINE HYDROCHLORIDE,METHDILAZINE HYDROCHLORIDE,,,
METHENAMINE HIPPURATE,METHENAMINE HIPPURATE,,,
METHICILLIN SODIUM,METHICILLIN SODIUM,,,
METHIMAZOLE,METHIMAZOLE,,,
METHOCARBAMOL,METHOCARBAMOL,,,
METHOHEXITAL SODIUM,METHOHEXITAL SODIUM,,,
METHOTREXATE,METHOTREXATE,,,
METHOTREXATE SODIUM,METHOTREXATE SODIUM,,,
METHOXAMINE HYDROCHLORIDE,METHOXAMINE HYDROCHLORIDE,,,
METHOXSALEN,METHOXSALEN,,,
METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,METHOXY POLYETHYLENE GLYCOL EPOETIN BETA,,,
METHOXYFLURANE,METHOXYFLURANE,,,
METHSCOPOLAMINE BROMIDE,METHSCOPOLAMINE BROMIDE,,,
METHSUXIMIDE,METHSUXIMIDE,,,
METHYCLOTHIAZIDE,METHYCLOTHIAZIDE,,,
METHYL AMINOLEVULINATE HYDROCHLORIDE,METHYL AMINOLEVULINATE HYDROCHLORIDE,,,
METHYL SALICYLATE,METHYL SALICYLATE,,,
METHYLDOPA,METHYLDOPA,,,
METHYLDOPATE HYDROCHLORIDE,METHYLDOPATE HYDROCHLORIDE,,,
METHYLENE BLUE,METHYLENE BLUE,,,
METHYLERGONOVINE MALEATE,METHYLERGONOVINE MALEATE,,,
METHYLNALTREXONE BROMIDE,METHYLNALTREXONE BROMIDE,,,
METHYLPHENIDATE,METHYLPHENIDATE,,,
METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,,,
METHYLPREDNISOLONE,METHYLPREDNISOLONE,,,
METHYLPREDNISOLONE ACETATE,METHYLPREDNISOLONE ACETATE,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,METHYLPREDNISOLONE SODIUM SUCCINATE,,,
METHYLTESTOSTERONE,METHYLTESTOSTERONE,,,
METHYPRYLON,METHYPRYLON,,,
METHYSERGIDE MALEATE,METHYSERGIDE MALEATE,,,
METIPRANOLOL HYDROCHLORIDE,METIPRANOLOL HYDROCHLORIDE,,,
METOCLOPRAMIDE HYDROCHLORIDE,METOCLOPRAMIDE HYDROCHLORIDE,,,
METOCURINE IODIDE,METOCURINE IODIDE,,,
METOLAZONE,METOLAZONE,,,
METOPROLOL FUMARATE,METOPROLOL FUMARATE,,,
METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,,,
METOPROLOL TARTRATE,METOPROLOL TARTRATE,,,
METRELEPTIN,METRELEPTIN,,,
METRIZAMIDE,METRIZAMIDE,,,
METRIZOATE MAGNESIUM,METRIZOATE MAGNESIUM,,,
METRIZOATE SODIUM,METRIZOATE SODIUM,,,
METRIZOIC ACID,METRIZOIC ACID,,,
METRONIDAZOLE,METRONIDAZOLE,,,
METRONIDAZOLE HYDROCHLORIDE,METRONIDAZOLE HYDROCHLORIDE,,,
METYRAPONE,METYRAPONE,,,
METYROSINE,METYROSINE,,,
MEXILETINE HYDROCHLORIDE,MEXILETINE HYDROCHLORIDE,,,
MEZLOCILLIN SODIUM MONOHYDRATE,MEZLOCILLIN SODIUM MONOHYDRATE,,,
MICAFUNGIN SODIUM,MICAFUNGIN SODIUM,,,
MICONAZOLE,MICONAZOLE,,,
MICONAZOLE NITRATE,MICONAZOLE NITRATE,,,
MIDAZOLAM,MIDAZOLAM,,,
MIDAZOLAM HYDROCHLORIDE,MIDAZOLAM HYDROCHLORIDE,,,
MIDODRINE HYDROCHLORIDE,MIDODRINE HYDROCHLORIDE,,,
MIDOSTAURIN,MIDOSTAURIN,,,
MIFEPRISTONE,MIFEPRISTONE,,,
MIGALASTAT HYDROCHLORIDE,MIGALASTAT HYDROCHLORIDE,,,
MIGLITOL,MIGLITOL,,,
MIGLUSTAT,MIGLUSTAT,,,
MILNACIPRAN HYDROCHLORIDE,MILNACIPRAN HYDROCHLORIDE,,,
MILRINONE LACTATE,MILRINONE LACTATE,,,
MILSAPERIDONE,MILSAPERIDONE,,,
MILTEFOSINE,MILTEFOSINE,,,
MINOCYCLINE HYDROCHLORIDE,MINOCYCLINE HYDROCHLORIDE,,,
MINOXIDIL,MINOXIDIL,,,
MIPOMERSEN SODIUM,MIPOMERSEN SODIUM,,,
MIRABEGRON,MIRABEGRON,,,
MIRDAMETINIB,MIRDAMETINIB,,,
MIRIKIZUMAB-MRKZ,MIRIKIZUMAB MRKZ,,,
MIRTAZAPINE,MIRTAZAPINE,,,
MIRVETUXIMAB SORAVTANSINE-GYNX,MIRVETUXIMAB SORAVTANSINE GYNX,,,
MISOPROSTOL,MISOPROSTOL,,,
MITAPIVAT SULFATE,MITAPIVAT SULFATE,,,
MITOMYCIN,MITOMYCIN,,,
MITOTANE,MITOTANE,,,
MITOXANTRONE HYDROCHLORIDE,MITOXANTRONE HYDROCHLORIDE,,,
MIVACURIUM CHLORIDE,MIVACURIUM CHLORIDE,,,
MOBOCERTINIB SUCCINATE,MOBOCERTINIB SUCCINATE,,,
MODAFINIL,MODAFINIL,,,
MOEXIPRIL HYDROCHLORIDE,MOEXIPRIL HYDROCHLORIDE,,,
MOGAMULIZUMAB-KPKC,MOGAMULIZUMAB KPKC,,,
MOLINDONE HYDROCHLORIDE,MOLINDONE HYDROCHLORIDE,,,
MOMELOTINIB DIHYDROCHLORIDE,MOMELOTINIB DIHYDROCHLORIDE,,,
MOMETASONE FUROATE,MOMETASONE FUROATE,,,
MONOBENZONE,MONOBENZONE,,,
MONOCTANOIN,MONOCTANOIN,,,
MONOMETHYL FUMARATE,MONOMETHYL FUMARATE,,,
MONTELUKAST SODIUM,MONTELUKAST SODIUM,,,
MORICIZINE HYDROCHLORIDE,MORICIZINE HYDROCHLORIDE,,,
MORPHINE SULFATE,MORPHINE SULFATE,,,
MOSUNETUZUMAB-AXGB,MOSUNETUZUMAB AXGB,,,
MOTIXAFORTIDE ACETATE,MOTIXAFORTIDE ACETATE,,,
MOXETUMOMAB PASUDOTOX-TDFK,MOXETUMOMAB PASUDOTOX TDFK,,,
MOXIDECTIN,MOXIDECTIN,,,
MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE,,,
MUPIROCIN,MUPIROCIN,,,
MUPIROCIN CALCIUM,MUPIROCIN CALCIUM,,,
MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,,,
MYCOPHENOLATE MOFETIL HYDROCHLORIDE,MYCOPHENOLATE MOFETIL HYDROCHLORIDE,,,
MYCOPHENOLATE SODIUM,MYCOPHENOLATE SODIUM,,,
NABILONE,NABILONE,,,
NABUMETONE,NABUMETONE,,,
NADOLOL,NADOLOL,,,
NAFARELIN ACETATE,NAFARELIN ACETATE,,,
NAFCILLIN SODIUM,NAFCILLIN SODIUM,,,
NAFTIFINE HYDROCHLORIDE,NAFTIFINE HYDROCHLORIDE,,,
NALBUPHINE HYDROCHLORIDE,NALBUPHINE HYDROCHLORIDE,,,
NALDEMEDINE TOSYLATE,NALDEMEDINE TOSYLATE,,,
NALIDIXIC ACID,NALIDIXIC ACID,,,
NALMEFENE HYDROCHLORIDE,NALMEFENE HYDROCHLORIDE,,,
NALOXEGOL,NALOXEGOL,,,
NALOXEGOL OXALATE,NALOXEGOL OXALATE,,,
NALOXONE HYDROCHLORIDE,NALOXONE HYDROCHLORIDE,,,
NALTREXONE,NALTREXONE,,,
NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,,,
NANDROLONE DECANOATE,NANDROLONE DECANOATE,,,
NANDROLONE PHENPROPIONATE,NANDROLONE PHENPROPIONATE,,,
NAPHAZOLINE HYDROCHLORIDE,NAPHAZOLINE HYDROCHLORIDE,,,
NAPROXEN,NAPROXEN,,,
NAPROXEN SODIUM,NAPROXEN SODIUM,,,
NARATRIPTAN HYDROCHLORIDE,NARATRIPTAN HYDROCHLORIDE,,,
NARSOPLIMAB-WUUG,NARSOPLIMAB WUUG,,,
NATALIZUMAB,NATALIZUMAB,,,
NATALIZUMAB-SZTN,NATALIZUMAB SZTN,,,
NATAMYCIN,NATAMYCIN,,,
NATEGLINIDE,NATEGLINIDE,,,
NAVEPEGRITIDE,NAVEPEGRITIDE,,,
NAXITAMAB-GQGK,NAXITAMAB GQGK,,,
NEBIVOLOL HYDROCHLORIDE,NEBIVOLOL HYDROCHLORIDE,,,
NECITUMUMAB,NECITUMUMAB,,,
NEDOCROMIL SODIUM,NEDOCROMIL SODIUM,,,
NEDOSIRAN SODIUM,NEDOSIRAN SODIUM,,,
NEFAZODONE HYDROCHLORIDE,NEFAZODONE HYDROCHLORIDE,,,
NELARABINE,NELARABINE,,,
NELFINAVIR MESYLATE,NELFINAVIR MESYLATE,,,
NEMOLIZUMAB-ILTO,NEMOLIZUMAB ILTO,,,
NEOMYCIN SULFATE,NEOMYCIN SULFATE,,,
NEOSTIGMINE METHYLSULFATE,NEOSTIGMINE METHYLSULFATE,,,
NEPAFENAC,NEPAFENAC,,,
NERANDOMILAST,NERANDOMILAST,,,
NERATINIB MALEATE,NERATINIB MALEATE,,,
NESIRITIDE,NESIRITIDE,,,
NETARSUDIL,NETARSUDIL,,,
NETARSUDIL DIMESYLATE,NETARSUDIL DIMESYLATE,,,
NETARSUDIL MESYLATE,NETARSUDIL MESYLATE,,,
NETILMICIN SULFATE,NETILMICIN SULFATE,,,
NETUPITANT,NETUPITANT,,,
NEVIRAPINE,NEVIRAPINE,,,
NIACIN,NIACIN,,,
NIACINAMIDE,NIACINAMIDE,,,
NICARDIPINE HYDROCHLORIDE,NICARDIPINE HYDROCHLORIDE,,,
NICOTINE,NICOTINE,,,
NICOTINE POLACRILEX,NICOTINE POLACRILEX,,,
