ApplNo,SubmissionType,SubmissionNo,SubmissionStatus,SubmissionStatusDate,approval_year,ReviewPriority_raw,ReviewPriority,ApplType_raw,ApplType,SponsorName,DrugName,ActiveIngredient,n_products,ProductNo_list,SubmissionClassCodeID,SubmissionClassCode,SubmissionClassCodeDescription
062124,ORIG,1,AP,1982-09-23,1982,,UNKNOWN,ANDA,ANDA,FOUGERA PHARMS,NYSTATIN,NYSTATIN,1.0,002,,,
062129,ORIG,1,AP,1979-02-01,1979,,UNKNOWN,ANDA,ANDA,FOUGERA PHARMS,NYSTATIN,NYSTATIN,1.0,001,,,
062138,ORIG,1,AP,1979-01-09,1979,,UNKNOWN,,UNKNOWN,,,,,,,,
062142,ORIG,1,AP,1981-08-12,1981,,UNKNOWN,ANDA,ANDA,WATSON LABS,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,2.0,001; 002,,,
062162,ORIG,1,AP,1981-06-15,1981,,UNKNOWN,ANDA,ANDA,BARR,ERYTHROMYCIN ESTOLATE,ERYTHROMYCIN ESTOLATE,2.0,001; 002,,,
062166,ORIG,1,AP,1981-04-14,1981,,UNKNOWN,ANDA,ANDA,PADAGIS US,BACITRACIN-NEOMYCIN-POLYMYXIN W/ HYDROCORTISONE ACETATE,BACITRACIN ZINC; HYDROCORTISONE ACETATE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,1.0,002,,,
062168,ORIG,1,AP,1979-03-20,1979,,UNKNOWN,ANDA,ANDA,ERSANA,,,,,,,
062169,ORIG,1,AP,1990-10-17,1990,,UNKNOWN,ANDA,ANDA,COSETTE,ERYTHROMYCIN ESTOLATE,ERYTHROMYCIN ESTOLATE,2.0,001; 002,,,
062171,ORIG,1,AP,1982-03-31,1982,,UNKNOWN,ANDA,ANDA,OPTOPICS,OPTOMYCIN,CHLORAMPHENICOL,1.0,001,,,
062174,ORIG,1,AP,1978-12-19,1978,,UNKNOWN,,UNKNOWN,,,,,,,,
